Segmento,Modelo do Avião,Quantidade entregue,Ano de fabricação,Ano de entrega,Quantidade de Motores,Tamanho do tanque (litros),Peso do avião vazio ,Custo de combustível - AVGAS (pré pandemia),Custo de combustível AVGAS (pós pandemia),Custo de combustível - querosene ,Custo de combustível - querosene (póspandemia),Cliente,Origem,Destino,Distância (km),Autonomia (km),Parada para reabastecer,Frete (pre pandemia - AVGAS) ,Frete (pos pandemia - AVGAS),Frete - QAV,Frete (pos pandemia - QAV),Custo total AVGAs,Custo total QAV
Aviação Comercial,EMBRAER 195 (E195),9,2014,2015,2,16153,28970,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",JAL,São José dos Campos,Japão,18506,4260,4,"R$ 363.446,45","R$ 445.827,65","R$ 129.338,48","R$ 371.523,04","R$ 3.271.018,06","R$ 1.164.046,29"
Aviação Executiva,Jatos leves,82,2014,2015,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Copa,São José dos Campos,Panamá,5180,2182,2,"R$ 29.000,62","R$ 35.574,10","R$ 10.320,35","R$ 29.645,08","R$ 2.378.051,06","R$ 846.269,10"
Aviação Executiva,Jatos Grandes,38,2014,2015,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",M1 Travel,São José dos Campos,Líbano,10704,5790,1,"R$ 202.696,14","R$ 248.640,60","R$ 72.132,80","R$ 207.200,50","R$ 7.702.453,31","R$ 2.741.046,38"
Aviação Comercial,EMBRAER 175 (E175),90,2015,2016,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 1,48","R$ 4,60",Virgin Nigeria,São José dos Campos,Nigéria,6930,4074,1,"R$ 104.850,56","R$ 128.616,69","R$ 34.502,82","R$ 107.180,57","R$ 9.436.550,46","R$ 3.105.254,21"
Aviação Comercial,EMBRAER 190 (E190),11,2015,2016,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 1,48","R$ 4,60",Regional,São José dos Campos,França,9108,4537,2,"R$ 218.067,87","R$ 267.496,59","R$ 71.758,87","R$ 222.913,82","R$ 2.398.746,58","R$ 789.347,54"
Aviação Comercial,EMBRAER 195 (E195),7,2015,2016,2,16153,28970,"R$ 4,50","R$ 5,52","R$ 1,48","R$ 4,60",Wideroe,São José dos Campos,Noruega,10506,4260,2,"R$ 218.067,87","R$ 267.496,59","R$ 71.758,87","R$ 222.913,82","R$ 1.526.475,09","R$ 502.312,07"
Aviação Executiva,Jatos leves,73,2015,2016,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 1,48","R$ 4,60",BOC Aviation,São José dos Campos,Singapura,15933,2182,7,"R$ 77.334,99","R$ 94.864,26","R$ 25.448,37","R$ 79.053,55","R$ 5.645.454,54","R$ 1.857.730,91"
Aviação Executiva,Jatos Grandes,44,2015,2016,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,48","R$ 4,60",Suzuyo,São José dos Campos,Japão,18506,5790,3,"R$ 405.392,28","R$ 497.281,20","R$ 133.401,09","R$ 414.401,00","R$ 17.837.260,29","R$ 5.869.647,79"
Aviação Comercial,EMBRAER 175 (E175),79,2016,2017,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 1,81","R$ 4,60",Luxair,São José dos Campos,Luxemburgo,9595,4074,2,"R$ 157.275,84","R$ 192.925,03","R$ 63.120,04","R$ 160.770,86","R$ 12.424.791,44","R$ 4.986.482,97"
Aviação Comercial,EMBRAER 190 (E190),12,2016,2017,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 1,81","R$ 4,60",Binter Canarias,São José dos Campos,Espanha,8310,4537,1,"R$ 145.378,58","R$ 178.331,06","R$ 58.345,27","R$ 148.609,22","R$ 1.744.542,96","R$ 700.143,24"
Aviação Comercial,EMBRAER 195 (E195),10,2016,2017,2,16153,28970,"R$ 4,50","R$ 5,52","R$ 1,81","R$ 4,60",Petro Air,São José dos Campos,Líbia,8736,4260,2,"R$ 218.067,87","R$ 267.496,59","R$ 87.517,91","R$ 222.913,82","R$ 2.180.678,71","R$ 875.179,05"
Aviação Executiva,Phenom 100 (leve),18,2016,2017,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 1,81","R$ 4,60",Alitalia,São José dos Campos,Itália,9397,2182,4,"R$ 48.334,37","R$ 59.290,16","R$ 19.398,19","R$ 49.408,47","R$ 870.018,68","R$ 349.167,50"
Aviação Executiva,Phenom 300 (leve),54,2016,2017,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 1,81","R$ 4,60",BOC Aviation,São José dos Campos,Singapura,15933,3650,4,"R$ 52.033,00","R$ 63.827,15","R$ 20.882,58","R$ 53.189,29","R$ 2.809.782,06","R$ 1.127.659,20"
Aviação Executiva,Legacy 450 (grande),14,2016,2017,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,81","R$ 4,60",NIKI,São José dos Campos,Áustria,9903,5790,1,"R$ 202.696,14","R$ 248.640,60","R$ 81.348,72","R$ 207.200,50","R$ 2.837.745,96","R$ 1.138.882,04"
Aviação Executiva,Legacy 500 (grande),15,2016,2017,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,81","R$ 4,60",Airnorth,São José dos Campos,Austrália,14613,5790,2,"R$ 304.044,21","R$ 372.960,90","R$ 122.023,08","R$ 310.800,75","R$ 4.560.663,14","R$ 1.830.346,14"
